Protein_ID	Annotation
Dcor_evm.model.hic_scaffold_1_pilon.921	Dehydrogenase/reductase SDR family member 13
Dcor_evm.model.hic_scaffold_1_pilon.922	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.923	Sodium-independent sulfate anion transporter
Dcor_evm.model.hic_scaffold_1_pilon.924	Cytochrome P450 9e2
Dcor_evm.model.hic_scaffold_1_pilon.925	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.926	zinc finger protein
Dcor_evm.model.hic_scaffold_1_pilon.927	Protein tramtrack, beta isoform
Dcor_evm.model.hic_scaffold_1_pilon.928	Inositol-3-phosphate synthase
Dcor_evm.model.hic_scaffold_1_pilon.929	Inositol-3-phosphate synthase 1-A
Dcor_evm.model.hic_scaffold_1_pilon.93	Integrin alpha-PS1
Dcor_evm.model.hic_scaffold_1_pilon.930	PREDICTED: transmembrane inner ear expressed protein isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.931	Actin-related protein 2/3 complex subunit 2
Dcor_evm.model.hic_scaffold_1_pilon.932	UPF0047 protein YjbQ
Dcor_evm.model.hic_scaffold_1_pilon.933	PREDICTED: kinetochore protein SLK19 isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.934	PREDICTED: G-protein coupled receptor 126-like
Dcor_evm.model.hic_scaffold_1_pilon.935	Nucleolar complex protein 4 homolog A
Dcor_evm.model.hic_scaffold_1_pilon.936	Vacuolar protein sorting-associated protein 11 homolog
Dcor_evm.model.hic_scaffold_1_pilon.937	60S ribosomal protein L3
Dcor_evm.model.hic_scaffold_1_pilon.938	Phosphatidylinositol-glycan biosynthesis class X protein
Dcor_evm.model.hic_scaffold_1_pilon.939	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.94	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.940	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.941	PREDICTED: glycine-rich cell wall structural protein 1-like isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.942	PREDICTED: uncharacterized protein LOC108568401
Dcor_evm.model.hic_scaffold_1_pilon.943	PREDICTED: uncharacterized protein LOC108568401
Dcor_evm.model.hic_scaffold_1_pilon.944	mediator of RNA polymerase II transcription subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.945	PREDICTED: mediator of RNA polymerase II transcription subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.946	PREDICTED: mediator of RNA polymerase II transcription subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.947	Mediator of RNA polymerase II transcription subunit 1
Dcor_evm.model.hic_scaffold_1_pilon.948	Methylglutaconyl-CoA hydratase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.949	GATOR complex protein NPRL2
Dcor_evm.model.hic_scaffold_1_pilon.95	Xaa-Pro dipeptidase
Dcor_evm.model.hic_scaffold_1_pilon.950	GATOR complex protein NPRL2
Dcor_evm.model.hic_scaffold_1_pilon.951	Protein jim lovell
Dcor_evm.model.hic_scaffold_1_pilon.952	28S ribosomal protein S33, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.953	Protein canopy 4
Dcor_evm.model.hic_scaffold_1_pilon.954	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.955	PREDICTED: tudor domain-containing protein 5 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.956	Sodium-independent sulfate anion transporter
Dcor_evm.model.hic_scaffold_1_pilon.957	uncharacterized protein LOC111426144
Dcor_evm.model.hic_scaffold_1_pilon.958	Desumoylating isopeptidase 1
Dcor_evm.model.hic_scaffold_1_pilon.959	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.96	PREDICTED: uncharacterized protein LOC108562186
Dcor_evm.model.hic_scaffold_1_pilon.960	General vesicular transport factor p115
Dcor_evm.model.hic_scaffold_1_pilon.961	General vesicular transport factor p115
Dcor_evm.model.hic_scaffold_1_pilon.962	Alkyldihydroxyacetonephosphate synthase
Dcor_evm.model.hic_scaffold_1_pilon.963	Alkyldihydroxyacetonephosphate synthase
Dcor_evm.model.hic_scaffold_1_pilon.964	Derlin-2
Dcor_evm.model.hic_scaffold_1_pilon.965	PREDICTED: kelch-like protein 18
Dcor_evm.model.hic_scaffold_1_pilon.966	Kelch-like protein 18
Dcor_evm.model.hic_scaffold_1_pilon.967	ADP-ribose pyrophosphatase, mitochondrial
Dcor_evm.model.hic_scaffold_1_pilon.968	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.969	Mitochondrial uncoupling protein 4
Dcor_evm.model.hic_scaffold_1_pilon.97	coiled-coil domain-containing protein 137-like
Dcor_evm.model.hic_scaffold_1_pilon.970	Sodium/hydrogen exchanger 10-like Protein
Dcor_evm.model.hic_scaffold_1_pilon.971	Sodium/hydrogen exchanger 10
Dcor_evm.model.hic_scaffold_1_pilon.972	LOW QUALITY PROTEIN: sodium/hydrogen exchanger 10-like
Dcor_evm.model.hic_scaffold_1_pilon.973	E3 ubiquitin-protein ligase Ubr3
Dcor_evm.model.hic_scaffold_1_pilon.974	E3 ubiquitin-protein ligase Ubr3
Dcor_evm.model.hic_scaffold_1_pilon.975	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.976	uncharacterized protein LOC108911535 isoform X1
Dcor_evm.model.hic_scaffold_1_pilon.977	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.978	RNA-binding protein lark
Dcor_evm.model.hic_scaffold_1_pilon.979	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.98	Oxidoreductase-like domain-containing protein 1
Dcor_evm.model.hic_scaffold_1_pilon.980	Bone morphogenetic protein receptor type-1B
Dcor_evm.model.hic_scaffold_1_pilon.981	60S ribosomal protein L34
Dcor_evm.model.hic_scaffold_1_pilon.982	SET domain-containing protein SmydA-8, isoform A
Dcor_evm.model.hic_scaffold_1_pilon.983	PREDICTED: protein msta-like
Dcor_evm.model.hic_scaffold_1_pilon.984	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.985	SET domain-containing protein SmydA-8, isoform A
Dcor_evm.model.hic_scaffold_1_pilon.986	PREDICTED: uncharacterized protein LOC108563679 isoform X3
Dcor_evm.model.hic_scaffold_1_pilon.987	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.988	Protein aveugle
Dcor_evm.model.hic_scaffold_1_pilon.989	Trifunctional purine biosynthetic protein adenosine-3
Dcor_evm.model.hic_scaffold_1_pilon.99	Galactokinase
Dcor_evm.model.hic_scaffold_1_pilon.990	Trifunctional purine biosynthetic protein adenosine-3
Dcor_evm.model.hic_scaffold_1_pilon.991	Trifunctional purine biosynthetic protein adenosine-3
Dcor_evm.model.hic_scaffold_1_pilon.992	DnaJ homolog subfamily C member 28
Dcor_evm.model.hic_scaffold_1_pilon.993	PREDICTED: dnaJ homolog subfamily C member 28
Dcor_evm.model.hic_scaffold_1_pilon.994	hypothetical protein
Dcor_evm.model.hic_scaffold_1_pilon.995	Translocation protein SEC62
Dcor_evm.model.hic_scaffold_1_pilon.996	hypothetical protein AMK59_4027, partial
Dcor_evm.model.hic_scaffold_1_pilon.997	PREDICTED: COX assembly mitochondrial protein homolog
Dcor_evm.model.hic_scaffold_1_pilon.998	PREDICTED: uncharacterized protein LOC108567009
Dcor_evm.model.hic_scaffold_1_pilon.999	peptidyl-prolyl cis-trans isomerase G-like isoform X2
Dcor_evm.model.hic_scaffold_10_pilon.1	Putative uncharacterized transposon-derived protein F54H12.3 
Dcor_evm.model.hic_scaffold_10_pilon.10	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.100	Zinc finger CCCH-type with G patch domain-containing protein
Dcor_evm.model.hic_scaffold_10_pilon.1000	Protein takeout
Dcor_evm.model.hic_scaffold_10_pilon.1001	Protein takeout
Dcor_evm.model.hic_scaffold_10_pilon.1002	AT-rich interactive domain-containing protein 5B
Dcor_evm.model.hic_scaffold_10_pilon.1003	Phenoloxidase-activating factor 2 
Dcor_evm.model.hic_scaffold_10_pilon.1004	Phenoloxidase-activating factor 2
Dcor_evm.model.hic_scaffold_10_pilon.1005	Phenoloxidase-activating factor 2
Dcor_evm.model.hic_scaffold_10_pilon.1006	Phenoloxidase-activating factor 2
Dcor_evm.model.hic_scaffold_10_pilon.1007	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1008	Myosin light chain kinase, smooth muscle
Dcor_evm.model.hic_scaffold_10_pilon.1009	T-complex protein 1 subunit beta
Dcor_evm.model.hic_scaffold_10_pilon.101	Protein TEX261
Dcor_evm.model.hic_scaffold_10_pilon.1010	40S ribosomal protein S16
Dcor_evm.model.hic_scaffold_10_pilon.1011	Protein inscuteable homolog
Dcor_evm.model.hic_scaffold_10_pilon.1012	MIT domain-containing protein 1
Dcor_evm.model.hic_scaffold_10_pilon.1013	Unconventional myosin-Ib
Dcor_evm.model.hic_scaffold_10_pilon.1014	PREDICTED: uncharacterized protein LOC108567581
Dcor_evm.model.hic_scaffold_10_pilon.1015	Mitochondrial import inner membrane translocase subunit Tim17-B
Dcor_evm.model.hic_scaffold_10_pilon.1016	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1017	Monocarboxylate transporter 12
Dcor_evm.model.hic_scaffold_10_pilon.1018	Monocarboxylate transporter 12
Dcor_evm.model.hic_scaffold_10_pilon.1019	Monocarboxylate transporter 12
Dcor_evm.model.hic_scaffold_10_pilon.102	Thyroid adenoma-associated protein homolog
Dcor_evm.model.hic_scaffold_10_pilon.1020	b(0,+)-type amino acid transporter 1
Dcor_evm.model.hic_scaffold_10_pilon.1021	Protein SERAC1
Dcor_evm.model.hic_scaffold_10_pilon.1022	Organic cation transporter-like protein
Dcor_evm.model.hic_scaffold_10_pilon.1023	hypothetical protein ALC62_05268
Dcor_evm.model.hic_scaffold_10_pilon.1024	zinc finger protein 391-like isoform X1
Dcor_evm.model.hic_scaffold_10_pilon.1025	gastrula zinc finger protein XlCGF8.2DB-like
Dcor_evm.model.hic_scaffold_10_pilon.1026	Nucleoside diphosphate kinase
Dcor_evm.model.hic_scaffold_10_pilon.1027	Serine-protein kinase ATM
Dcor_evm.model.hic_scaffold_10_pilon.1028	Vacuolar protein sorting-associated protein 72 homolog
Dcor_evm.model.hic_scaffold_10_pilon.1029	PREDICTED: uncharacterized protein LOC108564041 isoform X3
Dcor_evm.model.hic_scaffold_10_pilon.103	hypothetical protein BDFB_008894
Dcor_evm.model.hic_scaffold_10_pilon.1030	PREDICTED: uncharacterized protein LOC103315080 isoform X1
Dcor_evm.model.hic_scaffold_10_pilon.1031	PREDICTED: LOW QUALITY PROTEIN: sodium/hydrogen exchanger 10-like
Dcor_evm.model.hic_scaffold_10_pilon.1032	PREDICTED: sodium/hydrogen exchanger 10-like isoform X1
Dcor_evm.model.hic_scaffold_10_pilon.1033	Probable E3 ubiquitin-protein ligase HERC4
Dcor_evm.model.hic_scaffold_10_pilon.1034	3'-5' RNA helicase YTHDC2
Dcor_evm.model.hic_scaffold_10_pilon.1035	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1036	Moesin/ezrin/radixin homolog 1
Dcor_evm.model.hic_scaffold_10_pilon.1037	PREDICTED: zinc finger protein 184-like isoform X1
Dcor_evm.model.hic_scaffold_10_pilon.1038	Puff-specific protein Bx42 
Dcor_evm.model.hic_scaffold_10_pilon.1039	prosaposin-like
Dcor_evm.model.hic_scaffold_10_pilon.104	Protein vav
Dcor_evm.model.hic_scaffold_10_pilon.1040	Cuticular protein analogous to peritrophins 1-J
Dcor_evm.model.hic_scaffold_10_pilon.1041	Cadherin-99C
Dcor_evm.model.hic_scaffold_10_pilon.1042	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1043	Aryl hydrocarbon receptor
Dcor_evm.model.hic_scaffold_10_pilon.1044	Centromere/kinetochore protein zw10
Dcor_evm.model.hic_scaffold_10_pilon.1045	PREDICTED: centromere/kinetochore protein zw10 homolog
Dcor_evm.model.hic_scaffold_10_pilon.1046	Protein FAM91A1
Dcor_evm.model.hic_scaffold_10_pilon.1047	Intraflagellar transport protein 46 homolog
Dcor_evm.model.hic_scaffold_10_pilon.1048	Luc7-like protein 3
Dcor_evm.model.hic_scaffold_10_pilon.1049	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.105	Mitochondrial mRNA pseudouridine synthase Trub2
Dcor_evm.model.hic_scaffold_10_pilon.1050	Arginyl-tRNA--protein transferase 1 
Dcor_evm.model.hic_scaffold_10_pilon.1051	Gustatory receptor
Dcor_evm.model.hic_scaffold_10_pilon.1052	Gustatory receptor
Dcor_evm.model.hic_scaffold_10_pilon.1053	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1054	Myrosinase 1
Dcor_evm.model.hic_scaffold_10_pilon.1055	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1056	ionotropic receptor 3
Dcor_evm.model.hic_scaffold_10_pilon.1057	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1058	Venom allergen 5
Dcor_evm.model.hic_scaffold_10_pilon.1059	Odorant receptor 46a, isoform A
Dcor_evm.model.hic_scaffold_10_pilon.106	Phosrestin-1
Dcor_evm.model.hic_scaffold_10_pilon.1060	Histone-lysine N-methyltransferase SETMAR
Dcor_evm.model.hic_scaffold_10_pilon.1061	hypothetical protein AMK59_6890
Dcor_evm.model.hic_scaffold_10_pilon.1062	Bromodomain and WD repeat-containing protein 3
Dcor_evm.model.hic_scaffold_10_pilon.1063	Putative serine/threonine-protein kinase haspin homolog-like Protein
Dcor_evm.model.hic_scaffold_10_pilon.1064	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1065	PREDICTED: uncharacterized protein LOC108567414
Dcor_evm.model.hic_scaffold_10_pilon.1066	Probable ATP-dependent RNA helicase CG8611
Dcor_evm.model.hic_scaffold_10_pilon.1067	Vesicle-trafficking protein SEC22b-B
Dcor_evm.model.hic_scaffold_10_pilon.1068	Box C/D snoRNA protein 1
Dcor_evm.model.hic_scaffold_10_pilon.1069	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.107	60S ribosomal protein L5
Dcor_evm.model.hic_scaffold_10_pilon.1070	WD repeat-containing protein 6
Dcor_evm.model.hic_scaffold_10_pilon.1071	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1072	Cilia- and flagella-associated protein 74
Dcor_evm.model.hic_scaffold_10_pilon.1073	Caspase-1
Dcor_evm.model.hic_scaffold_10_pilon.1074	uncharacterized protein LOC111428633
Dcor_evm.model.hic_scaffold_10_pilon.1075	Neurotrypsin
Dcor_evm.model.hic_scaffold_10_pilon.1076	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1077	Ras-related and estrogen-regulated growth inhibitor
Dcor_evm.model.hic_scaffold_10_pilon.1078	Alpha-amylase
Dcor_evm.model.hic_scaffold_10_pilon.1079	ras-like protein family member 11B
Dcor_evm.model.hic_scaffold_10_pilon.108	Transmembrane protein 216
Dcor_evm.model.hic_scaffold_10_pilon.1080	Alpha-amylase
Dcor_evm.model.hic_scaffold_10_pilon.1081	uncharacterized protein LOC108733279
Dcor_evm.model.hic_scaffold_10_pilon.1082	Serine/threonine-protein kinase PLK4
Dcor_evm.model.hic_scaffold_10_pilon.1083	Proteasome subunit alpha type-4
Dcor_evm.model.hic_scaffold_10_pilon.1084	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1085	Pleiotropic regulator 1
Dcor_evm.model.hic_scaffold_10_pilon.1086	PREDICTED: nucleoprotein TPR isoform X2
Dcor_evm.model.hic_scaffold_10_pilon.1087	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1088	Aldose reductase
Dcor_evm.model.hic_scaffold_10_pilon.1089	Aldose reductase
Dcor_evm.model.hic_scaffold_10_pilon.109	Exocyst complex component 6
Dcor_evm.model.hic_scaffold_10_pilon.1090	BRISC complex subunit FAM175B
Dcor_evm.model.hic_scaffold_10_pilon.1091	Hermansky-Pudlak syndrome 1 protein homolog
Dcor_evm.model.hic_scaffold_10_pilon.1092	Probable U3 small nucleolar RNA-associated protein 11
Dcor_evm.model.hic_scaffold_10_pilon.1093	Succinate dehydrogenase cytochrome B subunit, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1094	Threonine aspartase 1
Dcor_evm.model.hic_scaffold_10_pilon.1095	Threonine aspartase 1
Dcor_evm.model.hic_scaffold_10_pilon.1096	Protein Daple
Dcor_evm.model.hic_scaffold_10_pilon.1097	non structural maintenance of chromosomes protein
Dcor_evm.model.hic_scaffold_10_pilon.1098	DnaJ homolog subfamily C member 25 homolog
Dcor_evm.model.hic_scaffold_10_pilon.1099	DALR anticodon-binding domain-containing protein 3
Dcor_evm.model.hic_scaffold_10_pilon.11	hypothetical protein X975_17494, partial
Dcor_evm.model.hic_scaffold_10_pilon.110	PREDICTED: putative gustatory receptor 28b
Dcor_evm.model.hic_scaffold_10_pilon.1100	Max dimerization protein 1
Dcor_evm.model.hic_scaffold_10_pilon.1101	Max dimerization protein 1
Dcor_evm.model.hic_scaffold_10_pilon.1102	PREDICTED: uncharacterized protein LOC108568115 isoform X1
Dcor_evm.model.hic_scaffold_10_pilon.1103	Probable phosphomevalonate kinase
Dcor_evm.model.hic_scaffold_10_pilon.1104	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1105	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1106	Myotubularin-related protein 10-B
Dcor_evm.model.hic_scaffold_10_pilon.1107	Regulator of nonsense transcripts 1 homolog
Dcor_evm.model.hic_scaffold_10_pilon.1108	Sialic acid synthase
Dcor_evm.model.hic_scaffold_10_pilon.1109	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.111	PREDICTED: uncharacterized protein LOC108563836
Dcor_evm.model.hic_scaffold_10_pilon.1110	Molybdenum cofactor sulfurase 3
Dcor_evm.model.hic_scaffold_10_pilon.1111	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1112	Protein FMC1 homolog
Dcor_evm.model.hic_scaffold_10_pilon.1113	SRR1-like protein
Dcor_evm.model.hic_scaffold_10_pilon.1114	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1115	Ecdysteroid UDP-glucosyltransferase
Dcor_evm.model.hic_scaffold_10_pilon.1116	PREDICTED: UDP-glucuronosyltransferase 2C1-like, partial
Dcor_evm.model.hic_scaffold_10_pilon.1117	FMRFamide receptor
Dcor_evm.model.hic_scaffold_10_pilon.1118	Receptor-type tyrosine-protein phosphatase T
Dcor_evm.model.hic_scaffold_10_pilon.1119	hypothetical protein ALC62_05268
Dcor_evm.model.hic_scaffold_10_pilon.112	Carbonyl reductase [NADPH] 1
Dcor_evm.model.hic_scaffold_10_pilon.1120	hypothetical protein ALC62_05268
Dcor_evm.model.hic_scaffold_10_pilon.1121	Bifocal
Dcor_evm.model.hic_scaffold_10_pilon.1122	Vacuolar protein sorting-associated protein 13A
Dcor_evm.model.hic_scaffold_10_pilon.1123	Vacuolar protein sorting-associated protein 13A
Dcor_evm.model.hic_scaffold_10_pilon.1124	PREDICTED: vacuolar protein sorting-associated protein 13A-like
Dcor_evm.model.hic_scaffold_10_pilon.1125	Organic cation transporter protein
Dcor_evm.model.hic_scaffold_10_pilon.1126	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1127	C-type lectin 37Da
Dcor_evm.model.hic_scaffold_10_pilon.1128	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.1129	PREDICTED: activating signal cointegrator 1 complex subunit 2 homolog isoform X2
Dcor_evm.model.hic_scaffold_10_pilon.113	Acetylcholine receptor subunit alpha-like
Dcor_evm.model.hic_scaffold_10_pilon.1130	Histone deacetylase complex subunit SAP18
Dcor_evm.model.hic_scaffold_10_pilon.1131	Sideroflexin-2
Dcor_evm.model.hic_scaffold_10_pilon.1132	Proteasome subunit alpha type-6
Dcor_evm.model.hic_scaffold_10_pilon.1133	Phosphoserine aminotransferase
Dcor_evm.model.hic_scaffold_10_pilon.1134	Probable phosphoserine aminotransferase
Dcor_evm.model.hic_scaffold_10_pilon.1135	DNA replication licensing factor Mcm6
Dcor_evm.model.hic_scaffold_10_pilon.1136	Pyruvate kinase
Dcor_evm.model.hic_scaffold_10_pilon.1137	Pyruvate kinase
Dcor_evm.model.hic_scaffold_10_pilon.1138	Pyruvate kinase
Dcor_evm.model.hic_scaffold_10_pilon.1139	Zinc finger protein 830
Dcor_evm.model.hic_scaffold_10_pilon.114	GA-binding protein subunit beta-2
Dcor_evm.model.hic_scaffold_10_pilon.1140	uncharacterized protein LUCCR_183120
Dcor_evm.model.hic_scaffold_10_pilon.1141	CCR4-NOT transcription complex subunit 6-like
Dcor_evm.model.hic_scaffold_10_pilon.1142	Craniofacial development protein 2
Dcor_evm.model.hic_scaffold_10_pilon.1143	PREDICTED: uncharacterized protein LOC107072109
Dcor_evm.model.hic_scaffold_10_pilon.1144	PREDICTED: uncharacterized protein LOC103315234
Dcor_evm.model.hic_scaffold_10_pilon.1145	PREDICTED: uncharacterized protein LOC108566865
Dcor_evm.model.hic_scaffold_10_pilon.1146	CCR4-NOT transcription complex subunit 6-like
Dcor_evm.model.hic_scaffold_10_pilon.1147	Ubiquitin-conjugating enzyme E2 Q1
Dcor_evm.model.hic_scaffold_10_pilon.1148	Neb-cGP
Dcor_evm.model.hic_scaffold_10_pilon.1149	E3 ubiquitin-protein ligase HERC2
Dcor_evm.model.hic_scaffold_10_pilon.115	Cytosolic carboxypeptidase-like protein 5
Dcor_evm.model.hic_scaffold_10_pilon.1150	Zinc finger CCHC domain-containing protein 10
Dcor_evm.model.hic_scaffold_10_pilon.1151	Heat shock protein 75 kDa, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1152	Heat shock protein 75 kDa, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1153	Heat shock protein 75 kDa, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1154	Heat shock protein 75 kDa, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1155	Heat shock protein 75 kDa, mitochondrial
Dcor_evm.model.hic_scaffold_10_pilon.1156	V-type proton ATPase 16 kDa proteolipid subunit
Dcor_evm.model.hic_scaffold_10_pilon.1157	Protein toll
Dcor_evm.model.hic_scaffold_10_pilon.1158	Tetratricopeptide repeat protein 7B
Dcor_evm.model.hic_scaffold_10_pilon.1159	hypothetical protein
Dcor_evm.model.hic_scaffold_10_pilon.116	Importin-11
